,전송사업자코드,공연코드,공연회차,소요시간,장르명,세부장르명,출연진내용,제작진내용,기획제작사명,관람연령,아동공연 여부,축제 여부,내한공연 여부,오픈런 여부,단독판매여부,공연시작년도,공연시작월,공연시작일,공연시작요일,공연시작시분,공연기간,공휴일여부,좌석등급개수,평균티켓가격,좌석점유율
0,SE000102,PF360097,1,90,서양음악(클래식),기악,한성원,,대구콘서트하우스(주최),만 6세 이상,N,N,N,N,Y,2019,7,9,Tuesday,1170,1,0,1,10000.0,0.995967741935484
1,SE000102,PF360828,1,70,서양음악(클래식),기악,"최민정, 배규희, 우현수, 정혜진, 남자은",,대구콘서트하우스(주최),만 7세 이상,N,N,N,N,Y,2019,7,16,Tuesday,1170,1,0,1,10000.0,0.9838709677419356
2,SE000303,PF373182,1,60,서양음악(클래식),기악,"김은지, 오은비, 형성경, 신유리",,"블랑앳누아(주최), 블랑앳누아(주관)",만 7세 이상,N,N,N,N,N,2019,7,20,Saturday,1170,1,0,1,10000.0,0.0241935483870967
3,SE000102,PF360028,1,70,서양음악(클래식),성악,"권재희, 정지은",,대구콘서트하우스(주최),만 7세 이상,N,N,N,N,Y,2019,7,26,Friday,1170,1,0,1,10000.0,0.7540322580645161
4,SE000102,PF373483,1,90,서양음악(클래식),기악,주석용,,"대구콘서트하우스(주최), 대구콘서트하우스(기획사)",만 7세 이상,N,N,N,N,Y,2019,8,9,Friday,1170,1,0,1,10000.0,0.9919354838709676
5,SE000102,PF373983,1,70,서양음악(클래식),기악,"조윤진, 이강원, 김나현, 김영도, 조재복, 김민정, 허지은 등",,"월드오케스트라시리즈 조직위원회(주최), 월드오케스트라시리즈 조직위원회(기획사)",만 7세 이상,N,N,N,N,Y,2019,8,16,Friday,1170,1,0,1,10000.0,0.9556451612903226
6,SE000102,PF373999,1,90,서양음악(클래식),성악,,,"대구콘서트하우스(주최), 대구콘서트하우스(기획사)",만 8세 이상,N,N,N,N,Y,2019,8,20,Tuesday,1170,1,0,1,20000.0,0.9838709677419356
7,SE000303,PF374324,1,120,서양음악(클래식),오페라,"소은경, 김동녁, 최득규, 윤성우, 전태현, 이은혜","현동헌, 소은경, 최득규","지트리 아트컴퍼니(주최), 지트리 아트컴퍼니(주관)",만 7세 이상,N,N,N,N,N,2019,8,21,Wednesday,1170,1,0,1,30000.0,0.0282258064516129
8,SE000303,PF375980,1,90,서양음악(클래식),기악,"김민희, 허정화",,에이엠예술기획(AM엔터테인먼트)(주관),만 7세 이상,N,N,N,N,N,2019,8,27,Tuesday,1170,1,0,1,10000.0,0.0241935483870967
9,SE000303,PF375391,1,90,서양음악(클래식),기악,"류정희, 최윤정, 김승언, 최지민, 하성원, 우정훈",,앙상블 테이크(주최),만 7세 이상,N,N,N,N,N,2019,8,28,Wednesday,1170,1,0,1,10000.0,0.0120967741935483
10,SE000303,PF375093,1,60,한국음악(국악),기악,"변석준, 장주영, 김경미, 정지태, 신지현",,대구콘서트하우스(주최),전체 관람가,N,N,N,N,N,2019,8,30,Friday,1170,1,0,1,10000.0,0.0483870967741935
11,SE000303,PF376229,1,90,서양음악(클래식),기악,"허아영, 변유진, 송성훈, 김은형, 권영서, 양윤지, 이수민 등",,에이엠예술기획(AM엔터테인먼트)(주최),만 7세 이상,N,N,N,N,N,2019,9,1,Sunday,1170,1,0,1,20000.0,0.0201612903225806
12,SE000102,PF374660,1,70,서양음악(클래식),기악,이예찬,,"대구콘서트하우스(기획사), 대구콘서트하우스(주최)",만 7세 이상,N,N,N,N,Y,2019,9,3,Tuesday,1170,1,0,1,10000.0,0.9838709677419356
13,SE000102,PF374661,1,70,서양음악(클래식),성악,김정아,,"대구콘서트하우스(기획사), 대구콘서트하우스(주최)",만 7세 이상,N,N,N,N,Y,2019,9,4,Wednesday,1170,1,0,1,10000.0,0.6895161290322581
14,SE000102,PF374672,1,70,서양음악(클래식),기악,이은숙,,"대구콘서트하우스(기획사), 대구콘서트하우스(주최)",만 7세 이상,N,N,N,N,Y,2019,9,5,Thursday,1170,1,0,1,10000.0,0.7943548387096774
15,SE000102,PF374673,1,70,서양음악(클래식),기악,송희송,,"대구콘서트하우스(기획사), 대구콘서트하우스(주최)",만 7세 이상,N,N,N,N,Y,2019,9,6,Friday,1170,1,0,1,10000.0,0.4112903225806452
16,SE000102,PF374162,1,70,서양음악(클래식),기악,"고수진, 김지혜, 구은정, 박주용, 이아름, 김성환, 양승진 등",,"대구콘서트하우스(기획사), 대구콘서트하우스(주최)",만 7세 이상,N,N,N,N,Y,2019,9,10,Tuesday,1170,1,0,1,10000.0,0.9637096774193548
17,SE000102,PF374017,1,70,대중무용,스트리트/스포츠댄스,"백나현, 최민정, 배원, 송성훈, 홍기쁨, 김효준",,"대구콘서트하우스(기획사), 대구콘서트하우스(주최)",만 7세 이상,N,N,N,N,Y,2019,9,17,Tuesday,1170,1,0,1,10000.0,0.9637096774193548
18,SE000102,PF360050,1,70,서양음악(클래식),기악,이형근,,대구콘서트하우스(주최),만 7세 이상,N,N,N,N,Y,2019,9,18,Wednesday,1170,1,0,1,10000.0,0.4677419354838709
19,SE000303,PF376183,1,90,서양음악(클래식),성악,"류지은, 박민정, 배진형, 배혜리, 이미혜, 차경훈, 김형준 등",,"대구음악협회(주관), 대구음악협회(주최)",만 7세 이상,N,Y,N,N,N,2019,9,20,Friday,1170,1,0,1,10000.0,0.0161290322580645
20,SE000102,PF375692,1,60,서양음악(클래식),기악,"류태형, 송정민, 김병현",,"대구콘서트하우스(기획사), 대구콘서트하우스(주최)",만 8세 이상,N,N,N,N,Y,2019,9,25,Wednesday,1170,1,0,1,5000.0,0.7016129032258065
21,SE000102,PF375917,1,70,서양음악(클래식),기악,"장영목, 김돈, 최영미, 임우상, 정희치, 김정길 등",,"대구콘서트하우스(기획사), 대구콘서트하우스(주최)",만 7세 이상,N,N,N,N,Y,2019,9,27,Friday,1170,1,0,1,10000.0,0.7540322580645161
22,SE000102,PF376291,1,70,무용(서양/한국무용),현대무용,"박진화, 이윤화, 배은진, 나윤아, 이은정","김성용, 정은신","대구콘서트하우스(기획사), 대구콘서트하우스(주최)",만 7세 이상,N,N,N,N,Y,2019,10,2,Wednesday,1170,1,0,1,10000.0,0.5201612903225806
23,SE000102,PF376242,1,70,한국음악(국악),혼합,"김봉규, 김지선, 이갑규, 정혜진, 최병길",,"대구콘서트하우스(기획사), 대구콘서트하우스(주최)",만 7세 이상,N,N,N,N,N,2019,10,5,Saturday,1020,1,0,1,10000.0,0.6774193548387096
24,SE000102,PF376163,1,70,서양음악(클래식),기악,"박영희, 박철하, 권은실, 강나래, 최용준, 정혜진, 백나현 등",,"대구콘서트하우스(기획사), 대구콘서트하우스(주최)",만 7세 이상,N,N,N,N,Y,2019,10,8,Tuesday,1170,1,0,1,10000.0,0.375
25,SE000303,PF378284,1,90,서양음악(클래식),기악,"라도스와브 솝착, 박미선, 박치상, 야노스와프 톰잘",,노부스 앙상블(주최),전체 관람가,N,N,N,N,N,2019,10,10,Thursday,1170,1,0,1,30000.0,0.0080645161290322
26,SE000102,PF377725,1,90,서양음악(클래식),기악,,,대구콘서트하우스(주최),만 8세 이상,N,N,N,N,N,2019,10,12,Saturday,1170,1,0,1,0.0,1.0
27,SE000102,PF377579,1,70,서양음악(클래식),성악,"이성원, 최윤희, 백나현, 홍기쁨",,"대구콘서트하우스(기획사), 대구콘서트하우스(주최)",만 7세 이상,N,N,N,N,Y,2019,10,30,Wednesday,1170,1,0,1,10000.0,0.8548387096774194
28,SE000102,PF360051,1,70,서양음악(클래식),기악,이형근,,대구콘서트하우스(주최),만 7세 이상,N,N,N,N,Y,2019,11,6,Wednesday,1170,1,0,1,10000.0,0.4233870967741935
29,SE000201,PF379445,1,85,서양음악(클래식),기악,"서주희, 김소정, 한혜민, 경희설, 김유진, 김태영",,"코리아트ENT(기획사), 코리아트ENT(주최)",만 7세 이상,N,N,N,N,N,2019,11,17,Sunday,1020,1,0,1,10000.0,0.0778688524590164
30,SE000303,PF370526,1,90,서양음악(클래식),기악,"김응수, 노소연, 김형은, 우세라, 박수빈, 이항석, 이준서 등",,"킴스클래식예술기획(주관), 앙상블 우애(주최)",만 8세 이상,N,N,N,N,N,2019,11,16,Saturday,1170,1,0,1,10000.0,0.0241935483870967
31,SE000303,PF370875,1,130,서양음악(클래식),기악,"오국환, 배원, 강희윤, 김유진, 김주경, 이수정, 박진아 등",서주희,"대구청년클래식음악제(주최), 대구청년클래식음악제(주관)",전체 관람가,N,Y,N,N,N,2019,11,21,Thursday,1140,1,0,1,10000.0,0.0362903225806451
32,SE000102,PF379306,1,60,서양음악(클래식),기악,"오혜림, 임성희, 장하은",,Enosh Ensemble(에노스 앙상블)(주최),만 7세 이상,N,N,N,N,Y,2019,11,22,Friday,1170,1,0,1,5000.0,0.2258064516129032
33,SE000201,PF378108,1,100,서양음악(클래식),기악,"변예진, 변새봄, 임주영",,드림클래식코리아(주관),만 7세 이상,N,N,N,N,N,2019,11,23,Saturday,1020,1,0,1,20000.0,0.0296296296296296
34,SE000102,PF378766,1,90,서양음악(클래식),기악,류태형 등,,"대구콘서트하우스(기획사), 대구콘서트하우스(주최)",만 7세 이상,N,N,N,N,Y,2019,11,27,Wednesday,1170,1,0,1,5000.0,0.7338709677419355
35,SE000303,PF371204,1,60,서양음악(클래식),기악,"최현, 남경림, 이미영 등",,"탑퍼커션앙상블(주최), 탑퍼커션앙상블(주관)",만 5세 이상,N,N,N,N,N,2019,11,30,Saturday,1020,1,0,1,10000.0,0.0201612903225806
36,SE000102,PF375517,1,70,서양음악(클래식),기악,"장혁준, 최영식, 이윤하, 황효정, 송호섭, 한경진, 김지인",,"월드오케스트라시리즈 조직위원회(주최), 대구콘서트하우스(주최)",만 7세 이상,N,N,N,N,Y,2019,12,2,Monday,1170,1,0,1,10000.0,0.7217741935483871
