,전송사업자코드,전송사업자명,좌석수,공연코드,공연회차,공연일시,예매/취소구분,예매/취소매수,예매/취소금액,장당금액,공연시작일자,공연종료일자,소요시간,장르명,세부장르명,출연진내용,제작진내용,기획제작사명,원작자명,극작가명,수상실적,관람연령,아동공연 여부,축제 여부,내한공연 여부,오픈런 여부,좌석등급,단독판매여부,판매좌석수
12408,SE000102,티켓링크,248,PF382485,1,2020-01-18 18:00,1,1,12000,12000,2020-01-18,2020-01-18,1시간 30분,서양음악(클래식),기악,유상오,,"나래아트컴퍼니(주최), 나래아트컴퍼니(주관)",,,,만 7세 이상,N,N,N,N,전석(12000),Y,1석
12409,SE000102,티켓링크,248,PF382485,1,2020-01-18 18:00,1,1,12000,12000,2020-01-18,2020-01-18,1시간 30분,서양음악(클래식),기악,유상오,,"나래아트컴퍼니(주최), 나래아트컴퍼니(주관)",,,,만 7세 이상,N,N,N,N,전석(12000),Y,1석
12410,SE000102,티켓링크,248,PF382485,1,2020-01-18 18:00,1,1,12000,12000,2020-01-18,2020-01-18,1시간 30분,서양음악(클래식),기악,유상오,,"나래아트컴퍼니(주최), 나래아트컴퍼니(주관)",,,,만 7세 이상,N,N,N,N,전석(12000),Y,1석
12411,SE000102,티켓링크,248,PF382485,1,2020-01-18 18:00,1,1,12000,12000,2020-01-18,2020-01-18,1시간 30분,서양음악(클래식),기악,유상오,,"나래아트컴퍼니(주최), 나래아트컴퍼니(주관)",,,,만 7세 이상,N,N,N,N,전석(12000),Y,1석
12412,SE000102,티켓링크,248,PF382485,1,2020-01-18 18:00,2,1,12000,12000,2020-01-18,2020-01-18,1시간 30분,서양음악(클래식),기악,유상오,,"나래아트컴퍼니(주최), 나래아트컴퍼니(주관)",,,,만 7세 이상,N,N,N,N,전석(12000),Y,1석
12413,SE000102,티켓링크,248,PF382485,1,2020-01-18 18:00,2,1,12000,12000,2020-01-18,2020-01-18,1시간 30분,서양음악(클래식),기악,유상오,,"나래아트컴퍼니(주최), 나래아트컴퍼니(주관)",,,,만 7세 이상,N,N,N,N,전석(12000),Y,1석
12414,SE000102,티켓링크,248,PF382485,1,2020-01-18 18:00,1,1,12000,12000,2020-01-18,2020-01-18,1시간 30분,서양음악(클래식),기악,유상오,,"나래아트컴퍼니(주최), 나래아트컴퍼니(주관)",,,,만 7세 이상,N,N,N,N,전석(12000),Y,1석
12415,SE000102,티켓링크,248,PF382485,1,2020-01-18 18:00,1,1,12000,12000,2020-01-18,2020-01-18,1시간 30분,서양음악(클래식),기악,유상오,,"나래아트컴퍼니(주최), 나래아트컴퍼니(주관)",,,,만 7세 이상,N,N,N,N,전석(12000),Y,1석
12416,SE000102,티켓링크,248,PF382485,1,2020-01-18 18:00,1,1,12000,12000,2020-01-18,2020-01-18,1시간 30분,서양음악(클래식),기악,유상오,,"나래아트컴퍼니(주최), 나래아트컴퍼니(주관)",,,,만 7세 이상,N,N,N,N,전석(12000),Y,1석
12417,SE000102,티켓링크,248,PF382485,1,2020-01-18 18:00,1,1,12000,12000,2020-01-18,2020-01-18,1시간 30분,서양음악(클래식),기악,유상오,,"나래아트컴퍼니(주최), 나래아트컴퍼니(주관)",,,,만 7세 이상,N,N,N,N,전석(12000),Y,1석
