전송사업자코드,전송사업자명,좌석수,공연코드,공연회차,공연일시,예매/취소구분,예매/취소매수,예매/취소금액,장당금액,공연시작일자,공연종료일자,소요시간,장르명,세부장르명,출연진내용,제작진내용,기획제작사명,원작자명,극작가명,수상실적,관람연령,아동공연 여부,축제 여부,내한공연 여부,오픈런 여부,좌석등급,단독판매여부,판매좌석수
SE000102,티켓링크,248,PF392190,1,2021-01-19 19:30,1,1,20000,20000,2021-01-19,2021-01-19,1시간 30분,서양음악(클래식),기악,정소영,,"AM예술기획(AM엔터테인먼트)(주최), AM예술기획(AM엔터테인먼트)(주관), 에이엠예술기획(AM엔터테인먼트)(주최), 에이엠예술기획(AM엔터테인먼트)(주관)",,,,만 7세 이상,N,N,N,N,전석(20000),Y,1석
SE000102,티켓링크,248,PF392190,1,2021-01-19 19:30,1,1,20000,20000,2021-01-19,2021-01-19,1시간 30분,서양음악(클래식),기악,정소영,,"AM예술기획(AM엔터테인먼트)(주최), AM예술기획(AM엔터테인먼트)(주관), 에이엠예술기획(AM엔터테인먼트)(주최), 에이엠예술기획(AM엔터테인먼트)(주관)",,,,만 7세 이상,N,N,N,N,전석(20000),Y,1석
SE000102,티켓링크,248,PF392190,1,2021-01-19 19:30,1,1,10000,10000,2021-01-19,2021-01-19,1시간 30분,서양음악(클래식),기악,정소영,,"AM예술기획(AM엔터테인먼트)(주최), AM예술기획(AM엔터테인먼트)(주관), 에이엠예술기획(AM엔터테인먼트)(주최), 에이엠예술기획(AM엔터테인먼트)(주관)",,,,만 7세 이상,N,N,N,N,전석(20000),Y,1석
SE000102,티켓링크,248,PF392190,1,2021-01-19 19:30,1,1,20000,20000,2021-01-19,2021-01-19,1시간 30분,서양음악(클래식),기악,정소영,,"AM예술기획(AM엔터테인먼트)(주최), AM예술기획(AM엔터테인먼트)(주관), 에이엠예술기획(AM엔터테인먼트)(주최), 에이엠예술기획(AM엔터테인먼트)(주관)",,,,만 7세 이상,N,N,N,N,전석(20000),Y,1석
SE000102,티켓링크,248,PF392190,1,2021-01-19 19:30,1,1,20000,20000,2021-01-19,2021-01-19,1시간 30분,서양음악(클래식),기악,정소영,,"AM예술기획(AM엔터테인먼트)(주최), AM예술기획(AM엔터테인먼트)(주관), 에이엠예술기획(AM엔터테인먼트)(주최), 에이엠예술기획(AM엔터테인먼트)(주관)",,,,만 7세 이상,N,N,N,N,전석(20000),Y,1석
SE000102,티켓링크,248,PF392190,1,2021-01-19 19:30,1,1,20000,20000,2021-01-19,2021-01-19,1시간 30분,서양음악(클래식),기악,정소영,,"AM예술기획(AM엔터테인먼트)(주최), AM예술기획(AM엔터테인먼트)(주관), 에이엠예술기획(AM엔터테인먼트)(주최), 에이엠예술기획(AM엔터테인먼트)(주관)",,,,만 7세 이상,N,N,N,N,전석(20000),Y,1석
SE000102,티켓링크,248,PF392190,1,2021-01-19 19:30,1,1,0,0,2021-01-19,2021-01-19,1시간 30분,서양음악(클래식),기악,정소영,,"AM예술기획(AM엔터테인먼트)(주최), AM예술기획(AM엔터테인먼트)(주관), 에이엠예술기획(AM엔터테인먼트)(주최), 에이엠예술기획(AM엔터테인먼트)(주관)",,,,만 7세 이상,N,N,N,N,전석(20000),Y,1석
SE000102,티켓링크,248,PF392190,1,2021-01-19 19:30,1,1,0,0,2021-01-19,2021-01-19,1시간 30분,서양음악(클래식),기악,정소영,,"AM예술기획(AM엔터테인먼트)(주최), AM예술기획(AM엔터테인먼트)(주관), 에이엠예술기획(AM엔터테인먼트)(주최), 에이엠예술기획(AM엔터테인먼트)(주관)",,,,만 7세 이상,N,N,N,N,전석(20000),Y,1석
SE000102,티켓링크,248,PF392190,1,2021-01-19 19:30,1,1,0,0,2021-01-19,2021-01-19,1시간 30분,서양음악(클래식),기악,정소영,,"AM예술기획(AM엔터테인먼트)(주최), AM예술기획(AM엔터테인먼트)(주관), 에이엠예술기획(AM엔터테인먼트)(주최), 에이엠예술기획(AM엔터테인먼트)(주관)",,,,만 7세 이상,N,N,N,N,전석(20000),Y,1석
SE000102,티켓링크,248,PF392190,1,2021-01-19 19:30,1,1,0,0,2021-01-19,2021-01-19,1시간 30분,서양음악(클래식),기악,정소영,,"AM예술기획(AM엔터테인먼트)(주최), AM예술기획(AM엔터테인먼트)(주관), 에이엠예술기획(AM엔터테인먼트)(주최), 에이엠예술기획(AM엔터테인먼트)(주관)",,,,만 7세 이상,N,N,N,N,전석(20000),Y,1석
SE000102,티켓링크,248,PF392190,1,2021-01-19 19:30,1,1,0,0,2021-01-19,2021-01-19,1시간 30분,서양음악(클래식),기악,정소영,,"AM예술기획(AM엔터테인먼트)(주최), AM예술기획(AM엔터테인먼트)(주관), 에이엠예술기획(AM엔터테인먼트)(주최), 에이엠예술기획(AM엔터테인먼트)(주관)",,,,만 7세 이상,N,N,N,N,전석(20000),Y,1석
