공연코드,출연진내용,검색량,출연횟수
PF377154,목혜진,0,4
PF378296,"김현지, 김윤경",27700,10
PF370309,조가람,40,4
PF378515,"이선진, 한지은",0,55
PF378123,"황예찬, 성해린, 이승원, 오상은",200,10
PF370390,"이석중, 맹준관",0,7
PF370370,"부윤정, 한지은",0,10
PF370618,양고우니,0,8
PF370285,"천혜진, 문정재, 윤재현, 이시현, 김진택",5420,27
PF373471,"김란도, 윤민규, 송호섭, 이석준, 김형찬",0,10
PF373568,"황성민, 맹준관",0,1
PF373992,"최은정, 에반 솔로몬",0,4
PF373775,"이경민, 최승리",0,4
PF374429,"김현곤, 송정민, 유문선, 김나윤, 이민정, 장재혁, 최성심  등",0,10
PF373248,김미경,0,1
PF373705,성보경,0,3
PF373871,"한예지, 이형규, 유영효, 김용원, 소진선",0,10
PF372102,정도행,0,5
PF374370,"임성윤, 문정재",5420,27
PF374940,추교준,0,2
PF375729,"최규정, 한지은",0,10
PF375347,"김소연, 문정재",5420,27
PF375255,"나재령, 박혜정",0,5
PF374712,"강희윤, 황보영",0,30
PF374897,"유미정, 김홍준, 배기정",0,10
PF374060,"차소용, 손은정",0,8
PF374965,"김종아, 유재연, 진덕",0,3
PF375900,"이현옥, 문재원, 김주현",790,14
PF372853,"김주원, 쾅 하오 후앙",30,11
PF360668,"최유진, 이재완",0,10
PF372854,김민욱,0,1
PF360799,"김경희, 신미정, 장혜리, 안동호",220,10
PF372069,나윤아,0,6
PF372080,"김정기, 윤인희, 강민지, 박정민, 최정원, 김지연, 이호권",0,5
PF372007,"이귀란, 기현정",0,5
PF372514,노예진,460,8
PF360796,이호정,0,8
PF378476,"이형규, 정예원",0,10
PF370304,"권영인, 조효단, 함지민, 김지원, 임진아, 오주은, 길희정 등",0,8
PF379475,"장하얀, 김재원",3110,164
PF377106,"이상은, 이재은",0,6
PF378802,윤소영,0,3
PF377057,"허정인, 최현호",0,4
PF378950,"강서영, 안지원",0,1
PF378821,"최운, 김재원",1930,164
PF378299,노신명,0,4
PF379210,"고의석, 손원진",0,10
PF370373,"최현정, 김우재, 장유진, 정호정",40,15
PF379045,"김수정, 천슬기",0,2
PF370858,"최고은, 홍소유",0,10
PF371555,"박경민, 이유연, 이효리, 김성문, 강예은",0,2
PF371707,"박진영, 김홍민, 김인수, 최영진, 이화영",0,5
PF376354,"이자윤, 이진혜, 전경원",0,10
PF376776,황보영,0,30
PF375892,박미정,0,13
PF374130,이현정,0,7
PF376766,"최병호, 조혜정",0,10
PF376031,계명선,0,10
PF375299,성해린,0,5
PF374852,"손치호, 정보희, 임명진, 조영호, 최효정, 서지은",0,25
PF375870,이철민,0,3
PF374066,"서계숙, 곽노희, 이선경, 조소연, 신효영, 이준성, 정도행 등",0,2
PF375992,김지혜,0,5
PF375265,"이송희, 박휘암",0,22
PF374545,"황순빈, 한지은",0,55
PF375952,,0,0
PF376986,,0,0
PF376079,"한동연, 황보영",0,30
PF378045,"최힐, 김창호, 김재원, 이강렬",1930,164
PF379451,,0,0
PF378207,이영우,0,9
PF379441,,0,0
PF379462,"안세훈, 방세원, 문명환, 최주연",0,9
PF379452,"박유나, 박성희, 이지연, 김신욱, 염현준",0,21
PF378749,형수운,0,4
PF377484,양윤희,0,6
PF376076,"김현아, 양승희, 서수민, 이한나, 김호정, 우지연, 이창형 등",0,63
PF376273,"김재학, 한형일, 이승한, 김상욱",0,1
PF376842,한기정,0,6
PF376950,"오신정, 함일규, 김민조, 이준원, 알렉산더, 강우성",0,10
PF377349,"조정민, 박인혜",0,4
PF379047,"김지연, 장부미",0,2
PF370271,"유효정, 박진우",8020,51
PF370902,"정예원, 권새롬, 남희정, 윤영화, 박숙련, 이형민, 송윤원 등",0,10
PF379831,"여윤수, 박영성",0,3
PF370308,"이용근, 이봉환, 김예현, 인태영, 김지환, 박용힐, 강신일 등",0,6
PF378037,"임재성, 이유현",0,14
PF370372,최한나,0,7
PF370861,홍혜도,0,10
PF370366,"권그림, 홍소유",0,10
PF379053,이정화,0,1
PF379566,조지현,0,19
PF370882,"장혜리, 박진우",8020,51
PF360972,"류희윤, 이섬승",0,6
PF372849,"임지희, 한지은",0,55
PF372104,"정희석, 김보경",0,14
PF360885,임재성,0,14
PF372790,변현조,0,7
PF361084,"박지현, 이주현",0,3
PF372258,"김지은, 김한길",0,1
PF372199,박우빈,0,1
PF360175,"정승원, 황보영",0,6
PF372192,"이현주, 박미정",0,34
PF372194,"이혜정,김희재",1310,28
PF372913,"조현수, 이재영, 조현진, 진은지",0,7
PF371398,"유지연, 박진우",8020,51
PF379054,"김민지, 이영림, 이영진",20,5
PF371739,"김홍민, 김보경",0,8
PF370699,"최지웅, 김현수, 대일 김, 허철, 이창형, 윤소영 등",0,23
PF370690,"최지웅, 김현수, 대일 김, 허철, 이창형, 윤소영 등",0,23
PF370306,"정원영, 허재원",0,13
PF372502,김유경,0,1
PF374665,"한지연, 브라이언 수, 조앤 황",0,3
PF372999,백민정,0,7
PF372486,"김정은, 박인혜",820,16
PF373428,"유키 코야마, 허정화",0,2
PF373078,유현지,0,2
PF369176,"박재린, 김정수, 민경식",0,27
PF374156,"채문영, 양고운, 박소영, 이수민, 임경원",60,38
PF373865,"강윤지, 박진우",8020,51
PF373974,"문명환, 조혜정",0,10
PF373086,"양영욱, 오은지, 노민호, 이규봉",0,11
PF373511,"유광수, 김주형, 이건용, 원정아",0,3
PF375913,,0,0
PF375700,조영창 등,0,62
PF376433,"박노을, 히로타 슌지",0,24
PF375572,김희균,0,7
PF376329,"김나정, 이은숙",0,3
PF375867,남희정,0,7
PF376382,"서진희, 김시내, 선우지현, 김수진, 김정은, 최영미, 박종화 등",640,31
PF376681,"박해미, 홍정모, 배혜연, 임주연, 이지영, 문재원",790,14
PF375619,"윤수빈, 히로타 슌지, 정광준",0,24
PF376355,"임재성, 이유현",0,5
PF375348,"김진훈, 박상희, 이신형",0,9
PF376687,박보윤,0,6
